Syntax version=4
Mon Jun 24 13:14:02 2019
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		count1	duty1
D:	1779.44	900	1000
D:	1781.19	900	1000
D:	1782.95	900	1000
D:	1784.87	900	1000
D:	1787.22	900	1000
D:	1789.60	900	1000
D:	1791.82	900	950
D:	1793.96	905	950
D:	1796.25	905	950
D:	1798.43	905	950
D:	1800.86	905	950
D:	1803.36	905	950
D:	1805.81	905	950
D:	1808.03	905	950
D:	1809.87	905	950
D:	1811.86	905	1000
D:	1813.96	900	1000
D:	1815.98	900	1000
D:	1818.00	900	1000
D:	1820.19	900	1000
D:	1822.38	900	1000
D:	1824.57	900	1000
D:	1826.88	900	1000
D:	1829.08	900	1000
D:	1830.99	900	950
D:	1833.19	905	950
D:	1835.39	905	950
D:	1837.66	905	950
D:	1839.94	905	950
D:	1842.42	900	1000
D:	1844.81	900	1000
D:	1847.36	900	1000
D:	1850.06	900	1000
D:	1852.44	900	1000
D:	1854.80	900	1000
D:	1857.24	900	1000
D:	1859.65	900	1000
D:	1862.45	900	1000
D:	1864.90	900	1000
D:	1867.09	900	1000
D:	1869.46	900	1000
D:	1871.59	900	1000
D:	1873.95	900	1000
D:	1876.13	900	1000
D:	1878.29	900	1000
D:	1880.55	900	1000
D:	1882.56	900	1000
D:	1884.72	900	1000
D:	1887.08	900	1000
D:	1889.18	900	1000
D:	1891.19	900	950
D:	1893.19	905	950
